,dep_sym
0,ABB US Equity
1,ADNT US Equity
2,AEG US Equity
3,AER US Equity
4,ALV US Equity
5,ANFI US Equity
6,ATHM US Equity
7,AU US Equity
8,AUO US Equity
9,AZN US Equity
10,BABA US Equity
11,BBL US Equity
12,BBVA US Equity
13,BCS US Equity
14,BHP US Equity
15,BITA US Equity
16,BP US Equity
17,BT US Equity
18,BTI US Equity
19,BUD US Equity
20,CAJ US Equity
21,CHT US Equity
22,CLB US Equity
23,CNHI US Equity
24,CRH US Equity
25,CS US Equity
26,CSTM US Equity
27,CUK US Equity
28,DB US Equity
29,DEO US Equity
30,DHT US Equity
31,DLPH US Equity
32,E US Equity
33,EROS US Equity
34,EURN US Equity
35,FCAU US Equity
36,FLY US Equity
37,FMS US Equity
38,FN US Equity
39,FRO US Equity
40,FTCH US Equity
41,G US Equity
42,GFI US Equity
43,GSK US Equity
44,GTX US Equity
45,HDB US Equity
46,HMC US Equity
47,HMY US Equity
48,HSBC US Equity
49,I US Equity
50,IBN US Equity
51,IGT US Equity
52,IHG US Equity
53,INFY US Equity
54,ING US Equity
55,INXN US Equity
56,JHG US Equity
57,KB US Equity
58,KEP US Equity
59,KT US Equity
60,LIN US Equity
61,LIQT US Equity
62,LPG US Equity
63,LPL US Equity
64,LXFR US Equity
65,LXFT US Equity
66,LYG US Equity
67,MBT US Equity
68,MFG US Equity
69,MFGP US Equity
70,MT US Equity
71,MTD US Equity
72,MUFG US Equity
73,MX US Equity
74,NAT US Equity
75,NE US Equity
76,NGG US Equity
77,NMR US Equity
78,NOK US Equity
79,NOMD US Equity
80,NVO US Equity
81,NVS US Equity
82,OEC US Equity
83,ORAN US Equity
84,PHG US Equity
85,PHI US Equity
86,PKX US Equity
87,PSO US Equity
88,PUK US Equity
89,QGEN US Equity
90,RACE US Equity
91,RBS US Equity
92,RCL US Equity
93,RDS/A US Equity
94,RDS/B US Equity
95,RDY US Equity
96,RELX US Equity
97,RIG US Equity
98,RIO US Equity
99,SALT US Equity
100,SAN US Equity
101,SAP US Equity
102,SBGL US Equity
103,SDRL US Equity
104,SE US Equity
105,SFL US Equity
106,SIG US Equity
107,SKM US Equity
108,SLB US Equity
109,SMFG US Equity
110,SNE US Equity
111,SNN US Equity
112,SPOT US Equity
113,SSL US Equity
114,STM US Equity
115,STNG US Equity
116,TAK US Equity
117,TEF US Equity
118,TEVA US Equity
119,TKC US Equity
120,TLK US Equity
121,TM US Equity
122,TOT US Equity
123,TSM US Equity
124,TTM US Equity
125,UBS US Equity
126,UL US Equity
127,UMC US Equity
128,UN US Equity
129,VEDL US Equity
130,VNE US Equity
131,WBK US Equity
132,WIT US Equity
133,WNS US Equity
134,WPP US Equity
